64,16,524288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,16,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,24,524288,1,63.976810,23.158247,16384,510,450,60,0,2,1,1,0.230750,0.939073,208.440308,2515.293701,277.924072,0.281015,0.365311
64,24,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,32,524288,1,63.975468,31.774826,16384,499,423,76,0,13,1,1,0.221523,0.938546,201.987595,2595.645020,286.802399,0.289992,0.372513
64,32,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,48,524288,1,63.967167,47.554623,16384,479,374,105,0,33,1,1,0.209635,0.937982,194.509033,2695.447754,297.829987,0.301143,0.381017
64,48,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,524288,1,63.958866,63.221134,16384,459,325,134,0,53,1,1,0.194248,0.937157,185.188828,2831.099365,312.818634,0.316298,0.392550
64,64,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,78,524288,1,63.944950,77.547569,16384,441,281,160,0,71,1,1,0.184527,0.936747,178.817825,2931.969238,323.964111,0.327567,0.401690
64,78,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16,524288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,24,524288,1,92.980713,23.158247,16384,510,0,506,4,2,1,1,0.143460,0.932241,154.644455,3390.280762,374.604675,0.378771,0.442211
96,24,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,32,524288,1,94.364136,31.774826,16384,499,0,492,7,13,1,1,0.143216,0.932506,154.523621,3392.932861,374.897705,0.379067,0.442431
96,32,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,48,524288,1,95.572632,47.554623,16384,479,0,467,12,33,1,1,0.142780,0.932980,154.775238,3387.416016,374.288086,0.378451,0.441487
96,48,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,64,524288,1,95.531128,63.221134,16384,459,0,442,17,53,1,1,0.142344,0.933455,154.474487,3394.010986,375.016785,0.379188,0.442121
96,64,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,78,524288,1,95.806274,77.547569,16384,441,0,419,22,71,1,1,0.141943,0.933892,154.654083,3390.069092,374.581268,0.378748,0.441401
96,78,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,16,524288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,16,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
